# Constructed from biom file
#OTU ID	C03	C07	C17	C11	C05	C08	C09	C18	C15	C01	C13	C12	C02	C10	C04	C16	C06	C14
Unclassified;Other	3.11526479751e-05	3.11526479751e-05	0.0	1.246105919e-05	0.000146417445483	5.91900311526e-05	0.0	0.0	3.11526479751e-05	0.0	3.11526479751e-06	1.246105919e-05	0.0	0.0	0.0	1.8691588785e-05	1.246105919e-05	0.0
k__Archaea;Other	0.000529595015576	2.18068535826e-05	3.11526479751e-06	2.18068535826e-05	3.73831775701e-05	0.000520249221184	6.23052959502e-06	0.000118380062305	1.55763239875e-05	0.000102803738318	3.11526479751e-05	0.0	3.42679127726e-05	0.0	2.18068535826e-05	2.49221183801e-05	0.0	1.8691588785e-05
k__Archaea;p__Crenarchaeota	0.0053769470405	0.0394548286604	0.00567289719626	0.00293146417445	0.0100280373832	0.00216822429907	0.223950155763	0.00323364485981	0.11246105919	0.00443613707165	0.0290996884735	0.145423676012	0.00442056074766	0.244386292835	0.0118909657321	0.0137912772586	0.00234890965732	0.131193146417
k__Archaea;p__Euryarchaeota	0.00345794392523	0.00111526479751	0.00114018691589	0.00142990654206	0.0036292834891	0.0023769470405	0.00280062305296	0.00306853582555	0.00151713395639	0.00518380062305	0.00134267912773	0.000856697819315	0.00489096573209	0.0028691588785	0.00252024922118	0.00256697819315	0.0102087227414	0.00142367601246
k__Archaea;p__[Parvarchaeota]	0.0012523364486	0.000940809968847	0.000364485981308	0.000277258566978	0.00178193146417	0.00195327102804	0.000448598130841	0.00106853582555	0.000333333333333	0.00176323987539	0.00152336448598	0.000348909657321	0.00157943925234	0.000355140186916	0.000479750778816	0.000728971962617	0.000255451713396	0.000610591900312
k__Bacteria;Other	0.0228193146417	0.0335919003115	0.0110280373832	0.0227632398754	0.0209563862928	0.0124330218069	0.0765607476636	0.0116604361371	0.0516043613707	0.0160249221184	0.254682242991	0.0387476635514	0.0153551401869	0.108168224299	0.0288380062305	0.0256355140187	0.0209003115265	0.107735202492
k__Bacteria;p__	0.0	9.34579439252e-06	9.34579439252e-06	3.11526479751e-06	0.0	9.96884735202e-05	6.23052959502e-06	0.0	0.0	1.55763239875e-05	0.0	0.0	0.0	3.11526479751e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	0.000529595015576	0.00205607476636	0.00091277258567	0.00280062305296	0.000981308411215	0.000676012461059	0.00179439252336	0.00126479750779	0.000202492211838	0.00723676012461	3.11526479751e-06	0.000576323987539	0.00173208722741	0.00131775700935	0.00647663551402	0.000647975077882	0.000619937694704	0.00239252336449
k__Bacteria;p__Acidobacteria	0.344280373832	0.32792211838	0.207295950156	0.305177570093	0.358012461059	0.157750778816	0.284370716511	0.342479750779	0.232028037383	0.236894080997	0.0883520249221	0.326741433022	0.266925233645	0.261738317757	0.398700934579	0.336401869159	0.311869158879	0.186180685358
k__Bacteria;p__Actinobacteria	0.0366168224299	0.0350934579439	0.0811962616822	0.0696012461059	0.0312336448598	0.0661744548287	0.0462024922118	0.043507788162	0.012214953271	0.0381214953271	0.0545856697819	0.00338940809969	0.069953271028	0.035722741433	0.0416168224299	0.0586043613707	0.0478348909657	0.0264205607477
k__Bacteria;p__Aquificae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11526479751e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes	0.00783177570093	0.0058785046729	0.00294392523364	0.00916199376947	0.00530218068536	0.00204361370717	0.00699065420561	0.00649221183801	0.003	0.00545794392523	0.00430529595016	0.00264174454829	0.00451713395639	0.004246105919	0.00327414330218	0.00253271028037	0.00695015576324	0.00390031152648
k__Bacteria;p__BHI80-139	0.000267912772586	9.96884735202e-05	1.8691588785e-05	6.23052959502e-05	7.16510903427e-05	4.36137071651e-05	0.0	6.23052959502e-06	0.0	2.80373831776e-05	0.0	0.0	2.18068535826e-05	0.0	9.03426791277e-05	0.000165109034268	0.0	2.18068535826e-05
k__Bacteria;p__BRC1	0.00017445482866	9.34579439252e-06	0.000177570093458	2.18068535826e-05	7.16510903427e-05	0.000242990654206	9.03426791277e-05	0.00013707165109	3.11526479751e-05	0.000102803738318	3.73831775701e-05	1.246105919e-05	0.000127725856698	1.8691588785e-05	2.18068535826e-05	1.8691588785e-05	6.23052959502e-06	1.246105919e-05
k__Bacteria;p__Bacteroidetes	0.0993925233645	0.0776230529595	0.10731152648	0.0637102803738	0.0899096573209	0.0827725856698	0.0590186915888	0.0957819314642	0.0403052959502	0.119308411215	0.0467788161994	0.0228411214953	0.109797507788	0.0274953271028	0.0418130841121	0.0501588785047	0.0643987538941	0.0331744548287
k__Bacteria;p__Caldithrix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11526479751e-06	0.0	0.0
k__Bacteria;p__Chlamydiae	0.0125327102804	0.0243707165109	0.00409034267913	0.00485358255452	0.0115295950156	0.0127133956386	0.000981308411215	0.00414641744548	0.00220249221184	0.00404672897196	0.00081308411215	0.00316199376947	0.0053707165109	4.67289719626e-05	0.00643925233645	0.00878193146417	0.0156355140187	0.000551401869159
k__Bacteria;p__Chlorobi	0.0128317757009	0.00659190031153	0.00485046728972	0.00194080996885	0.00472897196262	0.00876012461059	0.0027476635514	0.00726168224299	0.00311838006231	0.00906853582555	0.0273707165109	0.00670404984424	0.00791900311526	0.00197819314642	0.00283800623053	0.00505607476636	0.00182554517134	0.00360436137072
